Name,Address,City,State,Zip,Style,Last update,Image count,Num bedrooms,Rent,Pets Allowed,Latitude,Longitude,Income,Num_of_Households,Metro Distance
Post Massachusetts Avenue,1499 Massachusetts Ave NW, Washington,DC,20005,,6 hrs,51,3.0,6550.0,Contact Management,38.90687,-77.034162,831039,7890,619.1513907986517
The Hudson,1425 P St NW, Washington,DC,20005,,7 hrs,13,2.0,3800.0,Contact Management,38.909875,-77.03299799999998,831039,7890,815.0276058296187
Mai Place,1400-1404 14th St NW, Washington,DC,20005,,1 wk,15,1.0,3600.0,Contact Management,38.909107,-77.032321,831039,7890,871.4663793294679
Ore 82,82 I St SE, Washington,DC,20003,,43 min,48,2.0,3735.0,Yes,38.879507,-77.00562,1640358,14930,327.8530330199344
Dock 79,79 Potomac Ave SE, Washington,DC,20003,,New,31,2.0,4140.0,Yes,38.871544,-77.006608,1640358,14930,576.135328256706
Capitol Yards,100 Eye St SE, Washington,DC,20003,,New,51,2.0,5716.0,Contact Management,38.881904,-76.990935,1640358,14930,453.7829640404187
Parc Riverside,1011 1st St SE, Washington,DC,20003,,New,21,2.0,3669.0,Contact Management,38.878175,-77.006134,1640358,14930,198.4196799815744
The Bixby,601 L St SE, Washington,DC,20003,,New,2,3.0,3772.0,Contact Management,38.877264,-76.997286,1640358,14930,679.3766349211736
Arris,1331 4th St SE, Washington,DC,20003,,7 hrs,31,2.0,5510.0,Contact Management,38.87429,-77.000773,1640358,14930,452.42960348084745
Insignia on M,1111 New Jersey Ave SE, Washington,DC,20003,,2 wks,20,0.0,,Contact Management,38.877001,-77.004795,1640358,14930,52.37866696641054
1600 Pennsylvania Ave SE,1600 Pennsylvania Ave SE, Washington,DC,20003,,2 wks,76,2.0,2650.0,Contact Management,38.879138,-76.981879,1640358,14930,382.7013464809525
Aventine Fort Totten,5210 3rd St NE, Washington,DC,20011,,44 min,36,2.0,3041.0,No,38.953075,-77.001522,1944486,36430,154.95216484544878
The Swift at Petworth Metro,3828 Georgia Ave NW, Washington,DC,20011,,New,62,2.0,2975.0,Yes,38.937899,-77.02468499999998,1944486,36430,202.63129015903095
The Rittenhouse,6101 16th St NW, Washington,DC,20011,,5 hrs,63,3.0,2471.0,Contact Management,38.965061,-77.03537800000002,1944486,36430,1912.0698924435385
Fort Totten Square,5661 3rd St NE, Washington,DC,20011,,New,45,2.0,2510.0,Contact Management,38.958581,-77.016951,1944486,36430,1484.9461408219213
Park Place at Petworth Metro,850 Quincy St NW, Washington,DC,20011,,6 hrs,26,3.0,4708.0,Contact Management,38.937427,-77.024854,1944486,36430,150.5082190477136
Fahrenheit,3930-3936 Georgia Ave NW, Washington,DC,20011,,6 hrs,70,3.0,2715.0,Contact Management,38.939567,-77.025118,1944486,36430,389.53350995010635
Quebec House Apartments,2800 Quebec St NW, Washington,DC,20008,,New,64,2.0,2425.0,No,38.936182,-77.055684,2977550,16830,274.56774608709173
The Brandywine Apartments,4545 Connecticut Ave NW, Washington,DC,20008,,6 hrs,40,3.0,3640.0,No,38.949229,-77.065889,2977550,16830,656.7220977361267
AVA Van Ness,2950 Van Ness St NW, Washington,DC,20008,,New,14,2.0,2640.0,Yes,38.942899,-77.06118599999998,2977550,16830,216.4687064339736
Connecticut Plaza Apartments,2901 Connecticut Ave NW, Washington,DC,20008,,2 wks,50,2.0,2700.0,No,38.928375,-77.053791,2977550,16830,388.1968922582229
Park Van Ness,4455 Connecticut Ave NW, Washington,DC,20008,,2 wks,90,3.0,5985.0,Yes,38.946951,-77.064589,2977550,16830,381.9427360574678
The Woodley,2700 Woodley Rd NW, Washington,DC,20008,,New,89,3.0,13447.0,Contact Management,38.925252,-77.056152,2977550,16830,304.4199191879809
3003 Van Ness,3003 Van Ness St NW, Washington,DC,20008,,1 hr,15,2.0,3100.0,Contact Management,38.943724,-77.06124799999998,2977550,16830,196.05338682530564
Connecticut Heights,4850 Connecticut Ave, Washington,DC,20008,,New,26,2.0,2335.0,Contact Management,38.952871,-77.068916,2977550,16830,1083.0236192874108
Kennedy-Warren,3133 Connecticut Ave NW, Washington,DC,20008,,6 hrs,29,3.0,6570.0,Contact Management,38.931921,-77.055482,2977550,16830,389.9059490523032
Ellicott House,4849 Connecticut Ave NW, Washington,DC,20008,,7 hrs,64,2.0,1880.0,Contact Management,38.952898,-77.06819300000002,2977550,16830,1108.2739519744086
The Mission,1350 R St NW, Washington,DC,20009,,New,66,2.0,3600.0,Yes,38.91244,-77.031602,2930851,31890,505.7960430071048
The Hepburn,1901 Connecticut Ave NW, Washington,DC,20009,,7 hrs,21,3.0,14500.0,Yes,38.915918,-77.04641600000002,2930851,31890,753.6416285877681
Gelmarc Towers Apartments,1930 Columbia Rd NW, Washington,DC,20009,,1 wk,40,1.0,2100.0,No,38.918126,-77.044996,2930851,31890,966.6378384436064
Harvard Village Apartment,1829 Summit Pl NW, Washington,DC,20009,,2 wks,62,1.0,2249.0,Yes,38.926772,-77.04231300000002,2930851,31890,851.6846709384198
The Louis,1920-1934 14Th St NW, Washington,DC,20009,,2 wks,104,2.0,7198.0,Yes,38.916607,-77.032225,2930851,31890,284.68233258006194
The Alden,2620 13th St NW, Washington,DC,20009,,2 wks,37,4.0,2595.0,Yes,38.924259,-77.03006500000002,2930851,31890,543.8250258095661
District,1401 S St NW, Washington,DC,20009,,1 hr,13,2.0,5303.0,Contact Management,38.913944,-77.03195,2930851,31890,384.69791094732346
Capitol View on 14th,2420 14th St NW, Washington,DC,20009,,1 hr,16,2.0,11450.0,Contact Management,38.92112,-77.032136,2930851,31890,584.5629809705135
Elysium Fourteen,1921 14th St NW, Washington,DC,20009,,43 min,7,2.0,6620.0,Contact Management,38.91637,-77.03169399999999,2930851,31890,238.80680234891318
Chalfonte,1601 Argonne Pl NW, Washington,DC,20009,,6 hrs,31,2.0,3015.0,Contact Management,38.926672,-77.038604,2930851,31890,551.0905855514799
Argonne Apartments,1629 Columbia Rd NW, Washington,DC,20009,,1 wk,52,3.0,4155.0,Contact Management,38.926086,-77.03783299999998,2930851,31890,523.5655050737217
Park Ellison Apartments,1700 Harvard St NW, Washington,DC,20009,,2 wks,49,2.0,2750.0,Contact Management,38.92685,-77.040432,2930851,31890,692.6443387311513
The Vintage,3146 16th St NW, Washington,DC,20010,,6 hrs,27,2.0,3150.0,Yes,38.929986,-77.037028,1146714,19130,395.841007378978
The Woodner,3636 16th St NW, Washington,DC,20010,,1 wk,33,2.0,2199.0,Yes,38.936428,-77.037263,1146714,19130,945.7694892055837
Allegro,3460 14th St NW, Washington,DC,20010,,New,24,2.0,5609.0,Contact Management,38.932907,-77.033014,1146714,19130,471.36408195770747
Highland Park at Columbia Heights Metro,1400 Irving St NW, Washington,DC,20010,,6 hrs,98,2.0,3090.0,Contact Management,38.928523,-77.033621,1146714,19130,75.03260878295632
Park Triangle,1375 Kenyon St NW, Washington,DC,20010,,7 hrs,53,2.0,3705.0,Contact Management,38.92985,-77.031851,1146714,19130,153.44729843915374
The Grove at Parkside,600 Kenilworth Ter NE, Washington,DC,20019,,1 wk,26,1.0,1041.0,No,38.898529,-76.950609,939517,27320,223.8088944341236
Channel Square,1412 4th St SW, Washington,DC,20024,,2 wks,54,4.0,3544.0,Yes,38.87234,-77.017202,552652,7520,432.2720924946801
Waterside Towers,907 6th St SW, Washington,DC,20024,,New,11,4.0,2799.0,Contact Management,38.878814,-77.02108100000002,552652,7520,423.92005416395403
Lex at Waterfront Station,1151-1551 4th St SW, Washington,DC,20024,,New,38,2.0,2961.0,Contact Management,38.910878,-77.015974,552652,7520,584.0638489896231
The View at Waterfront,1100 6th St SW, Washington,DC,20024,,7 hrs,17,2.0,2360.0,Contact Management,38.877102,-77.019318,552652,7520,186.03638700774133
Capitol Park Tower,301 G St SW, Washington,DC,20024,,1 wk,27,2.0,2596.0,Contact Management,38.881674,-77.01680400000002,552652,7520,374.19425987987154
The Lansburgh,425 8th St NW, Washington,DC,20004,,2 wks,46,2.0,5000.0,Yes,38.895839,-77.02271999999998,160722,1010,227.67111262838228
Monroe Street Market,625 Monroe St NE, Washington,DC,20017,,New,69,2.0,6720.0,Contact Management,38.932057,-76.99704100000002,588455,9810,252.54144589917985
Edgewood Commons,601 Edgewood St NE, Washington,DC,20017,,2 wks,56,4.0,,Contact Management,38.9239,-76.997498,588455,9810,374.8886294178975
Kew Gardens,2700 Q St NW, Washington,DC,20007,,6 hrs,48,2.0,2499.0,Contact Management,38.910279,-77.055779,2934290,12640,1055.62213226085
Park Crest,2324 41st St NW, Washington,DC,20007,,6 hrs,28,2.0,2300.0,Contact Management,38.921457,-77.081014,2934290,12640,2460.7111861965186
Skyline Towers Apartments,2730 Wisconsin Ave NW, Washington,DC,20007,,5 days,36,2.0,2500.0,Contact Management,38.925986,-77.073576,2934290,12640,1643.9251151655496
Bainbridge Bethesda,4918 Saint Elmo Ave, Bethesda,MD,20814,,37 min,53,2.0,4235.0,Yes,38.988284,-77.097437,2569860,14590,515.2956542948489
