Name,Address,City,State,Zip,Style,Last update,Image count,Num bedrooms,Rent,Pets Allowed,Latitude,Longitude,Income,Num_of_Households,Metro Distance
1545 Geranium St NW,1545 Geranium St NW,Washington,DC,20012,,1 day,Not specified,1.0,1850.0,Contact Management,38.979549,-77.03595200000002,657911,7570,1628.6084772176441
1800 Primrose Rd NW,1800 Primrose Rd NW,Washington,DC,20012,,1 day,Not specified,,3100.0,Contact Management,38.990356,-77.04521700000002,657911,7570,1261.924913691551
7053 Spring Pl NW,7053 Spring Pl NW,Washington,DC,20012,,1 day,Not specified,,1790.0,Contact Management,38.976279999999996,-77.019093,657911,7570,136.97639319453987
6626 Piney Branch Rd NW,6626 Piney Branch Rd NW,Washington,DC,20012,,1 day,Not specified,1.0,1350.0,Contact Management,38.971016999999996,-77.02490999999998,657911,7570,791.3454836609269
The Normandie,6817 Georgia Ave NW, Washington,DC,20012,,2 wks,Not specified,1.0,1550.0,Contact Management,38.972970000000004,-77.026522,657911,7570,803.2586366782054
The Dahlia,7019 Georgia Ave NW, Washington,DC,20012,,2 wks,Not specified,1.0,1475.0,Contact Management,38.97551,-77.026423,657911,7570,742.4765044415543
The Van Buren,6505 14th St NW, Washington,DC,20012,,2 wks,Not specified,2.0,1985.0,Contact Management,38.969643,-77.03300899999998,657911,7570,1466.2028568930984
Residences on The Avenue,2221 I St NW, Washington,DC,20037,,1 hr,24,3.0,6833.0,Yes,38.900975,-77.04961999999998,756865,4970,70.29332845929368
The Westpark Apartments,2130 P St NW, Washington,DC,20037,,New,22,2.0,3725.0,Yes,38.909482000000004,-77.048363,756865,4970,410.39300982926903
2400 M,2400 M St NW, Washington,DC,20037,,New,22,3.0,4335.0,Contact Management,38.905065,-77.05170799999998,756865,4970,511.88632085265033
Columbia Plaza Apartments,2400 Virginia Ave NW, Washington,DC,20037,,5 hrs,55,3.0,3450.0,Contact Management,38.897149,-77.051171,756865,4970,391.41441925357987
Westbrooke Place,2201 N St, Washington,DC,20037,,7 hrs,26,2.0,6160.0,Contact Management,38.898918,-77.05544599999998,756865,4970,485.11269001027733
The Savoy,1101 New Hampshire Ave NW, Washington,DC,20037,,2 wks,73,3.0,3900.0,Contact Management,38.904025,-77.048315,756865,4970,416.93340287767865
Winston House,2140 L St NW, Washington,DC,20037,,2 wks,55,2.0,3800.0,Contact Management,38.903447,-77.048128,756865,4970,367.07149803060065
WestEnd25,1255 25th St NW, Washington,DC,20037,,New,Not specified,2.0,8972.0,Contact Management,38.906494,-77.052676,756865,4970,687.6848242218636
West End Residences,1221 24th St NW, Washington,DC,20037,,6 hrs,Not specified,2.0,4065.0,Contact Management,38.906538,-77.05112199999998,756865,4970,664.4605330051088
The 925 Apartments,925 25th St NW, Washington,DC,20037,,6 hrs,Not specified,1.0,2430.0,Contact Management,38.901435,-77.053049,756865,4970,257.58139371562004
Colonial Arms Apartments,939 26th St NW, Washington,DC,20037,,2 wks,Not specified,1.0,1995.0,Contact Management,38.901858000000004,-77.054526,756865,4970,393.7608271037797
Elise Apartments,825 New Hampshire Ave NW, Washington,DC,20037,,2 wks,Not specified,2.0,3595.0,Contact Management,38.900194,-77.05194399999998,756865,4970,151.45228616660532
922 24th St NW Unit 413,922 24th St NW Unit 413,Washington,DC,20037,,1 day,Not specified,,2200.0,Contact Management,38.901488,-77.05165799999997,756865,4970,155.35819966545688
2135 Newport Pl NW Unit #3,2135 Newport Pl NW Unit #3,Washington,DC,20037,,1 day,Not specified,1.0,1500.0,Contact Management,38.908062,-77.04786800000002,756865,4970,400.79176155215106
1001 26th St NW Unit 403,1001 26th St NW Unit 403,Washington,DC,20037,,5 days,Not specified,,2400.0,Contact Management,38.902943,-77.054502,756865,4970,449.2843237382972
2141 P St NW,2141 P St NW,Washington,DC,20037,,New,Not specified,1.0,1999.0,Contact Management,38.909987,-77.047957,756865,4970,379.1611063131861
2401 H St NW,2401 H St NW,Washington,DC,20037,,1 wk,Not specified,1.0,1700.0,Contact Management,38.899425,-77.05143299999997,756865,4970,164.67570880597592
2135 Newport Pl NW Unit 3,2135 Newport Pl NW Unit 3,Washington,DC,20037,,1 wk,Not specified,1.0,1500.0,Contact Management,38.908062,-77.04786800000002,756865,4970,400.79176155215106
2135 Newport Pl NW Unit #3,2135 Newport Pl NW Unit #3,Washington,DC,20037,,1 wk,Not specified,1.0,1500.0,Contact Management,38.908062,-77.04786800000002,756865,4970,400.79176155215106
1001 26th St NW Unit 403,1001 26th St NW Unit 403,Washington,DC,20037,,1 wk,Not specified,,2400.0,Contact Management,38.902943,-77.054502,756865,4970,449.2843237382972
922 24th St NW Unit 121,922 24th St NW Unit 121,Washington,DC,20037,,1 wk,Not specified,1.0,2100.0,Contact Management,38.901488,-77.05165799999997,756865,4970,155.35819966545688
950 25th St NW Unit 8XXN,950 25th St NW Unit 8XXN,Washington,DC,20037,,2 wks,Not specified,,2298.0,Contact Management,38.902094,-77.053567,756865,4970,329.97882490399735
2700 Virginia Ave NW Unit 809,2700 Virginia Ave NW Unit 809,Washington,DC,20037,,1 day,Not specified,,4250.0,Contact Management,38.90003400000001,-77.056268,756865,4970,522.5753745047916
955 26th St NW Unit 112,955 26th St NW Unit 112,Washington,DC,20037,,1 day,Not specified,,3995.0,Contact Management,38.902225,-77.054429,756865,4970,402.5296951268426
2141 I St NW,2141 I St NW,Washington,DC,20037,,1 day,Not specified,,1550.0,Contact Management,38.900985,-77.048223,756865,4970,182.51675790874668
1275 25th St NW,1275 25th St NW,Washington,DC,20037,,1 day,Not specified,,3200.0,Contact Management,38.906949,-77.053067,756865,4970,746.3330430212557
Elevation at Washington Gateway,100 Florida Ave NE, Washington,DC,20002,,New,55,2.0,3676.0,Yes,38.90883400000001,-77.003353,2258354,32160,162.25988822351454
Anthology,625 H St NE, Washington,DC,20002,,42 min,41,2.0,3861.0,Yes,38.900053,-76.997914,2258354,32160,806.9404943365225
Station House,701 2nd St NE, Washington,DC,20002,,New,67,3.0,5955.0,Yes,38.89929,-77.003057,2258354,32160,363.6203002913514
Avalon First and M,1160 1st St NE, Washington,DC,20002,,1 day,32,3.0,4222.0,Yes,38.905164,-77.006291,2258354,32160,381.09195529556405
The Metropolitan Apartments,200 Rhode Island Ave NE, Washington,DC,20002,,2 wks,29,2.0,2399.0,Yes,38.91917700000001,-77.003273,2258354,32160,654.1301635624434
The Apollo,600-616 H St NE, Washington,DC,20002,,New,7,3.0,5631.0,Contact Management,38.900353,-76.998153,2258354,32160,798.9771546248234
Senate Square,201 Eye St NE, Washington,DC,20002,,New,20,2.0,3382.0,Contact Management,38.908218,-76.982147,2258354,32160,1803.2327981234935
Loree Grand at Union Place,250 K St NE, Washington,DC,20002,,1 hr,26,2.0,3789.0,Contact Management,38.902802,-77.002438,2258354,32160,514.0485946546496
Camden NoMa,60 L St NE, Washington,DC,20002,,35 min,61,2.0,3669.0,Contact Management,38.903988,-77.007537,2258354,32160,548.924211731956
The Gale Eckington,151 Q St NE, Washington,DC,20002,,New,53,2.0,3775.0,Contact Management,38.910927,-77.00409499999998,2258354,32160,403.5173970237386
Flats at Atlas,1600 Maryland Ave NE, Washington,DC,20002,,7 hrs,58,2.0,2635.0,Contact Management,38.901693,-76.980818,2258354,32160,1775.2450852341024
360H Street,360 H St NE, Washington,DC,20002,,7 hrs,54,2.0,3810.0,Contact Management,38.900355,-77.001171,2258354,32160,564.2038323818816
2321 4th Street,2321 4th St NE, Washington,DC,20002,,2 wks,36,2.0,,Contact Management,38.920867,-77.000403,2258354,32160,382.5502168158623
Aria on L,300 L St NE, Washington,DC,20002,,2 wks,37,2.0,3000.0,Contact Management,38.903987,-77.001795,2258354,32160,393.44309759792276
Flats 130 at Constitution Square,130 M St NE, Washington,DC,20002,,New,Not specified,2.0,5552.0,Contact Management,38.9059,-77.00496600000002,2258354,32160,241.20254950329064
East and West Panorama Courts,325 Franklin St NE, Washington,DC,20002,,1 wk,Not specified,2.0,1915.0,Contact Management,38.925282,-77.000915,2258354,32160,661.0037733361023
Parkway Plaza,1835-1855 24th St NE, Washington,DC,20002,,1 wk,Not specified,2.0,1740.0,Contact Management,38.915228000000006,-76.970378,2258354,32160,2298.549990644739
The Shelby,405 10th St NE, Washington,DC,20002,,2 wks,Not specified,2.0,1900.0,Contact Management,38.895,-76.99244200000003,2258354,32160,1234.9868519835518
"501 12th St, NE",501 12th St NE, Washington,DC,20002,,2 wks,Not specified,2.0,,Contact Management,38.896361999999996,-76.989903,2258354,32160,1439.6974736831526
1226 Queen St NE,1226 Queen St NE,Washington,DC,20002,,2 days,Not specified,1.0,1005.0,Contact Management,38.906821,-76.986126,2258354,32160,1458.1558317954787
909 19th St NE Unit 2,909 19th St NE Unit 2,Washington,DC,20002,,3 days,Not specified,1.0,1200.0,Contact Management,38.902444,-76.975975,2258354,32160,1839.8080599508626
703 Florida Ave NE,703 Florida Ave NE,Washington,DC,20002,,New,Not specified,,3200.0,Contact Management,38.904990999999995,-76.995867,2258354,32160,670.0506534693618
146 R St NE,146 R St NE,Washington,DC,20002,,5 days,Not specified,,4800.0,Contact Management,38.912799,-77.00477,2258354,32160,619.6572983348046
1821 2nd St NE,1821 2nd St NE,Washington,DC,20002,,5 days,Not specified,,2600.0,Contact Management,38.914679,-77.00325,2258354,32160,808.9960412760468
1653 Trinidad Ave NE Unit 1,1653 Trinidad Ave NE Unit 1,Washington,DC,20002,,New,Not specified,,1599.0,Contact Management,38.907318,-76.983052,2258354,32160,1722.7087320703847
404 M St NE Unit B,404 M St NE Unit B,Washington,DC,20002,,New,Not specified,1.0,1300.0,Contact Management,38.905813,-77.00024300000003,2258354,32160,294.4954851879036
209 Ascot Pl NE,209 Ascot Pl NE,Washington,DC,20002,,1 wk,Not specified,,2850.0,Contact Management,38.920613,-77.00305999999998,2258354,32160,612.3207084981249
1808 H St NE,1808 H St NE,Washington,DC,20002,,1 wk,Not specified,,2200.0,Contact Management,38.900343,-76.977411,2258354,32160,1601.5533334214724
812 5th St NE Unit 2,812 5th St NE Unit 2,Washington,DC,20002,,New,Not specified,,2995.0,Contact Management,38.900648,-76.999769,2258354,32160,685.7275367107612
1424 North Capitol St NW Unit 3R,1424 North Capitol St NW Unit 3R,Washington,DC,20002,,1 wk,Not specified,2.0,2995.0,Contact Management,38.909363,-77.009416,2258354,32160,599.3821812500105
1100 Holbrook Terrace NE Unit 1-4,1100 Holbrook Terrace NE Unit 1-4,Washington,DC,20002,,New,Not specified,2.0,1895.0,Contact Management,38.908307,-76.98790799999998,2258354,32160,1306.3315718341994
1110 4th St NE,1110 4th St NE,Washington,DC,20002,,1 wk,Not specified,,3300.0,Contact Management,38.90414000000001,-77.000798,2258354,32160,408.6540104821646
138 Tennessee Ave NE,138 Tennessee Ave NE,Washington,DC,20002,,1 wk,Not specified,,3450.0,Contact Management,38.891338,-76.989346,2258354,32160,955.0214897384318
21 4th St NE Unit #B,21 4th St NE Unit #B,Washington,DC,20002,,1 wk,Not specified,1.0,1575.0,Contact Management,38.890628,-77.000374,2258354,32160,752.3590527481166
1816 D St NE Unit #4,1816 D St NE Unit #4,Washington,DC,20002,,1 wk,Not specified,2.0,2425.0,Contact Management,38.894944,-76.978364,2258354,32160,1004.0852717169136
33 U St NE Unit 2,33 U St NE Unit 2,Washington,DC,20002,,1 wk,Not specified,2.0,1950.0,Contact Management,38.916794,-77.007762,2258354,32160,1109.4593751574134
1747 L St NE,1747 L St NE,Washington,DC,20002,,1 wk,Not specified,,2150.0,Contact Management,38.903554,-76.978375,2258354,32160,1960.1013618186482
116 6th St NE Unit 305,116 6th St NE Unit 305,Washington,DC,20002,,1 wk,Not specified,2.0,2700.0,Contact Management,38.891401,-76.998745,2258354,32160,861.3408503917921
1350 Maryland Ave NE Unit 114,1350 Maryland Ave NE Unit 114,Washington,DC,20002,,1 wk,Not specified,,1975.0,Contact Management,38.899485,-76.985845,2258354,32160,1670.9057656154173
1350 Maryland Ave NE Unit 114,1350 Maryland Ave NE Unit 114,Washington,DC,20002,,1 wk,Not specified,,1950.0,Contact Management,38.899485,-76.985845,2258354,32160,1670.9057656154173
1717 Trinidad Ave NE,1717 Trinidad Ave NE,Washington,DC,20002,,1 wk,Not specified,2.0,1700.0,Contact Management,38.908153999999996,-76.98246999999998,2258354,32160,1774.9735834433268
201 I St NE,201 I St NE,Washington,DC,20002,,1 wk,Not specified,1.0,2610.0,Contact Management,38.901078999999996,-77.00325600000002,2258354,32160,480.01784812242624
1664 Trinidad Ave NE Unit 1,1664 Trinidad Ave NE Unit 1,Washington,DC,20002,,2 wks,Not specified,2.0,1350.0,Contact Management,38.907675,-76.983428,2258354,32160,1690.4043306425988
730 11th St NE Unit 104,730 11th St NE Unit 104,Washington,DC,20002,,2 wks,Not specified,,1950.0,Contact Management,38.899676,-76.991777,2258354,32160,1294.4454535087223
727 12th St NE,727 12th St NE,Washington,DC,20002,,2 wks,Not specified,,2500.0,Contact Management,38.899786,-76.989992,2258354,32160,1406.2474022387255
140 12th St NE,140 12th St NE,Washington,DC,20002,,2 wks,Not specified,,3775.0,Contact Management,38.891566,-76.990558,2258354,32160,925.0145446456664
418 H St NE,418 H St NE,Washington,DC,20002,,2 wks,Not specified,,7500.0,Contact Management,38.900353,-77.000392,2258354,32160,622.7160674125495
915 12th St NE Unit 2,915 12th St NE Unit 2,Washington,DC,20002,,1 day,Not specified,,3200.0,Contact Management,38.901837,-76.989935,2258354,32160,1286.1091118475306
2615 4th St NE Unit 105,2615 4th St NE Unit 105,Washington,DC,20002,,1 day,Not specified,,1500.0,Contact Management,38.924008,-77.000219,2258354,32160,515.9388773707981
1808 H Pl NE,1808 H Pl NE,Washington,DC,20002,,1 day,Not specified,,2200.0,Contact Management,38.908218,-76.982147,2258354,32160,1803.2327981234935
1173 Abbey Pl NE,1173 Abbey Pl NE,Washington,DC,20002,,1 day,Not specified,,3200.0,Contact Management,38.905452000000004,-77.001102,2258354,32160,270.4287847301148
1406 Morse St NE,1406 Morse St NE,Washington,DC,20002,,1 day,Not specified,,3500.0,Contact Management,38.901528000000006,-76.984107,2258354,32160,1757.556628788653
701 Florida Ave NE Unit 3,701 Florida Ave NE Unit 3,Washington,DC,20002,,1 day,Not specified,1.0,1495.0,Contact Management,38.905021999999995,-76.99594499999998,2258354,32160,662.4855934495828
1653 Trinidad Ave NE Unit 1,1653 Trinidad Ave NE Unit 1,Washington,DC,20002,,1 day,Not specified,,1599.0,Contact Management,38.907318,-76.983052,2258354,32160,1722.7087320703847
633 M St NE,633 M St NE,Washington,DC,20002,,1 day,Not specified,,2900.0,Contact Management,38.905449,-76.99730600000002,2258354,32160,535.5712639168623
