STATEFIPS,STATE,ZIPCODE,AGI_STUB,N1,MARS1,MARS2,A00100
21,KY,41159,0,130,40,80,4227
21,KY,41164,0,4530,1660,2130,167359
21,KY,41166,0,210,60,120,9152
21,KY,41168,0,1170,410,600,52688
21,KY,41169,0,2420,890,1210,146737
21,KY,41171,0,1240,420,630,49715
21,KY,41174,0,410,160,180,16909
21,KY,41175,0,2110,730,1050,95630
21,KY,41179,0,2540,880,1260,94844
21,KY,41180,0,330,100,190,12495
21,KY,41183,0,690,260,330,32725
21,KY,41189,0,930,330,480,37767
21,KY,41203,0,150,60,70,4833
21,KY,41204,0,160,50,80,4988
21,KY,41214,0,150,50,70,5248
21,KY,41216,0,360,110,210,18119
21,KY,41219,0,680,220,340,24397
21,KY,41222,0,880,300,460,38054
21,KY,41224,0,1610,500,830,71703
21,KY,41230,0,4230,1450,2210,192250
21,KY,41231,0,320,100,160,13598
21,KY,41232,0,230,90,130,9084
21,KY,41234,0,210,80,110,7728
21,KY,41238,0,370,130,200,17597
21,KY,41240,0,2420,950,1090,116004
21,KY,41250,0,250,70,120,9464
21,KY,41254,0,160,50,100,7067
21,KY,41255,0,340,100,180,12520
21,KY,41256,0,820,290,440,47703
21,KY,41257,0,160,50,90,6563
21,KY,41260,0,250,90,120,8974
21,KY,41262,0,310,90,160,10332
21,KY,41263,0,120,30,80,5149
21,KY,41264,0,150,50,80,6279
21,KY,41265,0,590,220,280,25292
21,KY,41267,0,300,70,130,9106
21,KY,41274,0,330,110,150,12859
21,KY,41301,0,1900,640,880,62886
21,KY,41311,0,1960,710,900,68705
21,KY,41314,0,1350,490,570,42811
21,KY,41317,0,120,50,40,3547
21,KY,41332,0,380,130,180,12808
21,KY,41339,0,3360,1210,1500,131098
21,KY,41348,0,460,160,210,15663
21,KY,41352,0,180,60,90,6353
21,KY,41360,0,130,50,70,4089
21,KY,41365,0,160,60,70,5518
21,KY,41385,0,220,80,90,6761
21,KY,41408,0,150,40,60,4501
21,KY,41421,0,110,30,70,4082
21,KY,41425,0,360,120,210,12221
21,KY,41464,0,120,30,60,3556
21,KY,41465,0,3660,1180,1930,145463
21,KY,41472,0,3080,1040,1660,126490
21,KY,41501,0,7020,2740,3230,382775
21,KY,41503,0,260,90,100,14992
21,KY,41512,0,230,70,110,8929
21,KY,41513,0,180,60,80,6385
21,KY,41514,0,1230,420,600,54064
21,KY,41519,0,340,100,190,14971
21,KY,41522,0,1350,460,710,52321
21,KY,41524,0,100,30,60,3876
21,KY,41527,0,220,80,110,16520
21,KY,41528,0,160,50,80,5523
21,KY,41531,0,340,100,200,14503
21,KY,41535,0,140,60,60,5304
